"Key";"ru";"en";"kz";"ua";"by";
"Can't pass in-argument as in/out-argument";"Нельзя арг передать в рез или аргрез";"";"";"";"";
"Can't pass in-argument as out-argument";"Нельзя арг передать в рез или аргрез";"";"";"";"";
"Can't pass this expression as in/out-argumeny";"Не величина в аргрез-параметре";"";"";"";"";
"Can't pass this expression as out-argument";"Не величина в рез-параметре";"";"";"";"";
"Can't real:=%1";"";"";"";"";"";
"Can't real:=boolean";"Нельзя “вещ := лог”";"";"";"";"";
"Can't real:=charect";"Нельзя “вещ := сим”";"";"";"";"";
"Can't real:=string";"Нельзя “вещ := лит”";"";"";"";"";
"Can't run kumir2-bc to compile this module";"Не могу запустить компилятор для сборки этого испонителя";"";"";"";"";
"Can't string:=%1";"";"";"";"";"";
"Can't string:=boolean";"Нельзя “лит := лог”";"";"";"";"";
"Can't string:=integer";"Нельзя “лит := цел”";"";"";"";"";
"Can't string:=real";"Нельзя “лит := вещ”";"";"";"";"";
"Can't use input parameter as for-variable";"Нельзя использовать арг как величину цикла";"";"";"";"";
"Condition after '%1' not boolean";"Условие после “%1” не логическое";"";"";"";"";
"Condition if not boolean";"Условие после “если” не логическое";"";"";"";"";
"Condition is not boolean";"Это не условие";"";"";"";"";
"Constant can not be a name";"Константа – это не имя";"";"";"";"";
"Constant for-loop variable";"Должна быть величина, а не константа";"";"";"";"";
"Constant instead of name";"Здесь должно быть имя";"";"";"";"";
"Constant type mismatch";"Несоответствие типа константы";"";"";"";"";
"Constant value not typed";"Не введено значение константы";"";"";"";"";
"End module in algorhitm body";"“кон_исп” внутри алгоритма";"";"";"";"";
"Error compiling this module";"Ошибка сборки этого исполнителя";"";"";"";"";
"Error contains unpaired quote";"Непарная кавычка";"";"";"";"";
"Expression not assigned to anything";"Выражение ничему не присвоено";"";"";"";"";
"Extra ','";"Лишняя запятая";"";"";"";"";
"Extra '['";"Лишняя “[“";"";"";"";"";
"Extra 'begin'";"Нет “кон” после “нач”";"";"";"";"";
"Extra 'case'";"“при” не на месте";"";"";"";"";
"Extra 'else'";"Лишнее “иначе”";"";"";"";"";
"Extra 'end'";"Лишний “кон”";"";"";"";"";
"Extra 'endloop'";"Непарный “кц”";"";"";"";"";
"Extra 'fi'";"Что - “все”?";"";"";"";"";
"Extra 'if'";"Нет “то..все” после “если”";"";"";"";"";
"Extra 'loop'";"Нет парного “кц”";"";"";"";"";
"Extra 'module'";"Для “исп” нет “кон_исп”";"";"";"";"";
"Extra 'not'";"“не” без лог";"";"";"";"";
"Extra 'switch'";"Нет ”все” после “выбор”";"";"";"";"";
"Extra 'then'";"“то” не на месте";"";"";"";"";
"Extra )";"Лишняя )";"";"";"";"";
"Extra ]";"Лишняя ]";"";"";"";"";
"Extra algorithm arguments";"Лишние аргументы";"";"";"";"";
"Extra arguments";"Лишние аргументы";"";"";"";"";
"Extra array bound";"Лишние границы";"";"";"";"";
"Extra brackets for algorithm without arguments";"Нет аргументов – не нужны скобки";"";"";"";"";
"Extra close brace";"Лишняя }";"";"";"";"";
"Extra colon";"Лишнее двоеточие";"";"";"";"";
"Extra coma";"Лишняя запятая";"";"";"";"";
"Extra docstring";"Здесь не должно быть строк описания";"";"";"";"";
"Extra format";"";"";"";"";"";
"Extra format parameter";"Лишний параметр вывода";"";"";"";"";
"Extra indeces";"Лишние индексы";"";"";"";"";
"Extra indeces in slice";"Лишние индексы в вырезке";"";"";"";"";
"Extra open brace";"Лишняя {";"";"";"";"";
"Extra operator";"Лишний оператор";"";"";"";"";
"Extra statement";"Строка не на месте";"";"";"";"";
"Extra teacher marker";"Лишняя метка";"";"";"";"";
"Extra type";"Лишнее объявление типа";"";"";"";"";
"Extra variable group in-specifier";"Лишний “арг”";"";"";"";"";
"Extra variable group inout-specifier";"Лишний “аргрез”";"";"";"";"";
"Extra variable group out-specifier";"Лишний “рез”";"";"";"";"";
"Extra variable group specifier: %1";"Лишнее описание группы величин";"";"";"";"";
"Extra {";"Лишняя {";"";"";"";"";
"Extra }";"Лишняя }";"";"";"";"";
"File already specified";"";"";"";"";"";
"File handle is not integer";"Ключ – не целое число";"";"";"";"";
"File key must be an integer";"";"";"";"";"";
"File must be specified at first";"Файл должен быть первым в списке";"";"";"";"";
"First unnamed algorithm should not return anything";"Алгоритм без имени ничего не возвращает";"";"";"";"";
"Forgotten operator after bracket";"Перед выражением пропущен оператор";"";"";"";"";
"Format already declared";"";"";"";"";"";
"Format parameter not integer";"Параметр вывода – не целое число";"";"";"";"";
"From-value not specified";"Нет значения после “от”";"";"";"";"";
"Function in array bound";"Нельзя использовать вызов алгоритма в границе";"";"";"";"";
"Garbage afrer module name";"Мусор после имени исполнителя";"";"";"";"";
"Garbage after %1";"Мусор после %1";"";"";"";"";
"Garbage after 'if' statement";"Мусор после “если”";"";"";"";"";
"Garbage after 'switch' statement";"Мусор после “выбор”";"";"";"";"";
"Garbage after algorhitm header";"Мусор после “нач”";"";"";"";"";
"Garbage after }";"Мусор после }";"";"";"";"";
"Garbage at end of line";"Мусор в конце строки";"";"";"";"";
"Garbage at the end of statement";"Мусор в конце выражения";"";"";"";"";
"Garbage between alg..begin";"Мусор между “алг”..”нач”";"";"";"";"";
"Garbage between if..then";"Мусор между “если”..”то”";"";"";"";"";
"Garbage between switch..case";"Мусор между “выбор”..”при”";"";"";"";"";
"Garbage in algorithm";"Лишние строки алгоритма";"";"";"";"";
"Garbage in expression";"Мусор в конце выражения";"";"";"";"";
"Here must be \"input\" or \"output\"";"";"";"";"";"";
"Hidden part must contain only algorithm";"";"";"";"";"";
"Incompatible types";"Плохой тип параметра";"";"";"";"";
"Incorrect algorithm name";"Некорректное имя алгоритма";"";"";"";"";
"Indeces was specified before";"Повторное указание индексов";"";"";"";"";
"Index is not integer";"Индекс – не целое число";"";"";"";"";
"Initial value is empty";"Начальное значение не задано";"";"";"";"";
"Initial values should not be specified in algorithm header";"Здесь должны быть только величины";"";"";"";"";
"Inner algorithm";"Вложенный алгоритм";"";"";"";"";
"Input format must be a string";"";"";"";"";"";
"Instruction out of algorhitm";"Строка вне алгоритма";"";"";"";"";
"Integer constant too big";"Слишком большое целое число";"";"";"";"";
"It is a garbage";"Это лишнее";"";"";"";"";
"Keyword in name";"Ключевое слово в имени";"";"";"";"";
"Leading zeroes not allowed";"Лишние нули в начале числа";"";"";"";"";
"Leading zeroes not allowed in constants";"Лишние нули в начале числа";"";"";"";"";
"Left array bound is empty";"Нет левой границы таблицы";"";"";"";"";
"Left array bound is not integer";"Левая граница – не целое";"";"";"";"";
"Left array bound not specified";"Не указана левая граница таблицы";"";"";"";"";
"Literal can't be part of name";"Константа в имени";"";"";"";"";
"Loop type not specified";"Не указан тип цикла";"";"";"";"";
"Many quotes in constant";"Много кавычек в одной константе";"";"";"";"";
"Misplaced 'end module'";"Лишняя “кон исп”";"";"";"";"";
"Misplaced import";"“использовать” не в начале";"";"";"";"";
"Module already imported";"Повторное использование";"";"";"";"";
"Module file is damaged";"Файл исполнителя поврежден";"";"";"";"";
"Module in algorhitm body";"“исп” внутри алгоритма";"";"";"";"";
"Must be Kumir program file name";"Нет имени файла исполнителя";"";"";"";"";
"Must be a file name or empty string";"Должно быть имя файла или пустая строка";"";"";"";"";
"Must be a scalar constant";"Нельзя присвоить список значений";"";"";"";"";
"Must be a variable name";"Это не имя величины";"";"";"";"";
"Name contains keyword";"Ключевое слово в имени";"";"";"";"";
"Name contains quotation symbol";"Имя содержит кавычку";"";"";"";"";
"Name does not match header";"Несоответствие имени с заголовком";"";"";"";"";
"Name is used by algorithm";"Имя занято алгоритмом";"";"";"";"";
"Name is used by module %1";"Имя занято исполнителем ”%1”";"";"";"";"";
"Name not declared";"Имя не объявлено";"";"";"";"";
"Name starts with digit";"Имя не может начинаться с цифры";"";"";"";"";
"No 'begin' after 'alg'";"После “алг” нет “нач”";"";"";"";"";
"No 'begin' after 'post'";"После “надо” нет нач”";"";"";"";"";
"No 'begin' after 'pre'";"После “дано” нет “нач”";"";"";"";"";
"No 'begin' after header";"После “алг” нет “нач”";"";"";"";"";
"No 'begin' after last document line";"После описания нет нач”";"";"";"";"";
"No 'case' after 'switch'";"Нет “при:” после “выбор”";"";"";"";"";
"No 'end' after 'else'";"Нет “все” после “иначе”";"";"";"";"";
"No 'end' after 'then'";"Нет “все” после “то”";"";"";"";"";
"No 'from'";"Нет “от”";"";"";"";"";
"No 'from' before 'to'";"Нет “от”.. перед “до”";"";"";"";"";
"No 'from'..'to'.. after variable";"Нет “от”..”до”.. после величины";"";"";"";"";
"No 'loop' before 'for'";"Перед “для” нет “нц”";"";"";"";"";
"No 'loop' before 'times'";"Перед “раз” нет “нц”";"";"";"";"";
"No 'loop' before 'while'";"Перед “пока” нет “нц”";"";"";"";"";
"No 'then' after 'if'";"Где “то” после условия?";"";"";"";"";
"No 'then' before else..fi";"Нет “то” перед “иначе”";"";"";"";"";
"No algorhitm header";"Нет заголовка алгоритма";"";"";"";"";
"No algorhitm implementation";"Нет реализации алгоритма";"";"";"";"";
"No algorithm name";"Не указано имя алгоритма";"";"";"";"";
"No arguments";"Нет аргументов";"";"";"";"";
"No colon after condition";"В конце нет “:”";"";"";"";"";
"No coma before %1";"Нет запятой перед %1";"";"";"";"";
"No coma before declaration";"Нет запятой перед объявлением";"";"";"";"";
"No coma before type";"Нет запятой перед объявлением";"";"";"";"";
"No condition after 'case'";"Нет условия после “при”";"";"";"";"";
"No condition after 'end if'";"Нет условия для “кц при”";"";"";"";"";
"No condition after 'if'";"Нет условия для “если”";"";"";"";"";
"No condition after 'loop while'";"Нет условия после “нц пока”";"";"";"";"";
"No condition between 'case' and colon";"Нет условия между “при” и “:”";"";"";"";"";
"No expressions after '%1'";"Нет величин после “%1”";"";"";"";"";
"No for-loop variable";"Нет величины цикла";"";"";"";"";
"No left array bound";"Нет левой границы таблицы";"";"";"";"";
"No left value of assignment";"Некуда присваивать";"";"";"";"";
"No loop 'from'";"Нет “от”";"";"";"";"";
"No loop 'from' value";"Нет значения после “от”";"";"";"";"";
"No loop 'to'";"Нет “до”";"";"";"";"";
"No loop 'to' value";"Нет “до” после “от”";"";"";"";"";
"No loop variable";"Не указана величина цикла";"";"";"";"";
"No module name";"Нет имени исполнителя";"";"";"";"";
"No name before [";"Перед [ должно быть имя";"";"";"";"";
"No one 'case'";"Нет ни одного “при”";"";"";"";"";
"No operand before non-unary operator";"";"";"";"";"";
"No operands";"Нет операнда";"";"";"";"";
"No operator before (";"Пропущен оператор";"";"";"";"";
"No operator before [";"Нет величины перед [";"";"";"";"";
"No pairing '('";"Нет парной “(“";"";"";"";"";
"No pairing ')'";"Нет парной “)”";"";"";"";"";
"No pairing '['";"Нет парной “[“";"";"";"";"";
"No pairing ']'";"Нет парной “]”";"";"";"";"";
"No pairing 'begin module'";"Нет парной “исп”";"";"";"";"";
"No pairing 'end module'";"Нет парной “кон исп”";"";"";"";"";
"No right array bound";"Нет правой границы таблицы";"";"";"";"";
"No right value of assignment";"Нет правой части присваивания";"";"";"";"";
"No step-value";"Нет значения после “шаг”";"";"";"";"";
"No such file";"Нет такого исполнителя рядом с программой";"";"";"";"";
"No such module";"Нет такого исполнителя";"";"";"";"";
"No then before else";"Нет “то” перед “иначе”";"";"";"";"";
"No variable name";"Не указано имя величины";"";"";"";"";
"No variables declared";"Величины не описаны";"";"";"";"";
"No variables declared after '%1'";"Пусто после “%1”";"";"";"";"";
"Non-literal constant is not indexable";"У этой величины не бывает индексов";"";"";"";"";
"Not a constant value";"Это не константа";"";"";"";"";
"Not a simple index";"Индекс – не число";"";"";"";"";
"Not enought algorithm arguments";"Мало аргументов";"";"";"";"";
"Not enought indeces";"Не все индексы";"";"";"";"";
"Not integer for-loop variable";"Величина не целая";"";"";"";"";
"Not integer from-value";"Величина не целая";"";"";"";"";
"Not integer step-value";"Величина не целая";"";"";"";"";
"Not integer times-value";"Величина не целая";"";"";"";"";
"Not integer to-value";"Величина не целая";"";"";"";"";
"Nothing between '(' and ')'";"Пусто между “(“ и “)”";"";"";"";"";
"Nothing between '[' and ']'";"Пусто между “[“ и “]”";"";"";"";"";
"Operator in name";"Имя содержит оператор";"";"";"";"";
"Passing table as index";"Таблица не может быть индексом";"";"";"";"";
"Program structure error";"Ошибка структуры программы";"";"";"";"";
"Real constant too big";"Слишком большое число";"";"";"";"";
"Recursive declaration of bound";"Рекурсивное объявление границ";"";"";"";"";
"Return value is not indexable";"У знач не может быть индексов";"";"";"";"";
"Return valus is not a string";"Возвращаемая величина не строка";"";"";"";"";
"Right array bound is empty";"Нет правой границы таблицы";"";"";"";"";
"Right array bound is not integer";"Правая граница таблицы не целая";"";"";"";"";
"Slice of string array, but not string";"Вырезка не из строки, а из таблицы";"";"";"";"";
"Statement ends with coma";"Запятая в конце";"";"";"";"";
"Step-value is empty";"Нет значения после “шаг”";"";"";"";"";
"Table constant element of variant type";"Размерности константы не одинаковы";"";"";"";"";
"Table dimension > 3";"";"";"";"";"";
"The name is used by global variable";"Имя занято глобальной величиной";"";"";"";"";
"The name is used by other algorithm";"Имя занято другим алгоритмом";"";"";"";"";
"Then-value not specified";"Нет значения после “до”";"";"";"";"";
"This algorhitm is broken";"Алгоритм с ошибкой";"";"";"";"";
"This algorithm has no return value";"У этого алгоритма нет “знач”";"";"";"";"";
"Times value not specified";"Сколько раз?";"";"";"";"";
"Too big real value";"Слишком большое вещественное значение";"";"";"";"";
"Too many ':=' operators";"Много “:=” в одной строке";"";"";"";"";
"Too many 'not'";"Много “не”";"";"";"";"";
"Too many errors";"Слишком много ошибок";"";"";"";"";
"Type not declared before";"Не указан тип";"";"";"";"";
"Unmatched array dimensions";"Несоответствие размерностей таблиц";"";"";"";"";
"Unpaired '('";"Нет парной “)”";"";"";"";"";
"Unpaired ')'";"Непарная скобка";"";"";"";"";
"Unpaired '['";"Не парная “[“";"";"";"";"";
"Unpaired ']'";"Нет парной “]”";"";"";"";"";
"Unpaired (";"Непарная (";"";"";"";"";
"Unpaired )";"Непарная )";"";"";"";"";
"Unpaired [";"Непарная [";"";"";"";"";
"Unpaired ]";"Непарная ]";"";"";"";"";
"Unpaired quote";"Непарная кавычка";"";"";"";"";
"Unpaired {";"Непарная {";"";"";"";"";
"Unpaired }";"Непарная }";"";"";"";"";
"Use of 'not' for non-boolean value";"“не” вне логического выражения";"";"";"";"";
"Variable already declared";"Величина уже описана";"";"";"";"";
"Variable declaration out of algorhitm";"Объявление после алгоритма";"";"";"";"";
"Variable name is empty";"Где имя величины?";"";"";"";"";
"Variable not found";"Величина не описана";"";"";"";"";
"Void argument";"Пустой аргумент";"";"";"";"";
"Void index";"Пустой индекс";"";"";"";"";
"What to assign?";"Что назначать?";"";"";"";"";
"What to input from file?";"Куда вводить из файла?";"";"";"";"";
"What to input?";"Куда вводить?";"";"";"";"";
"What to output to file?";"Что выводить в файл?";"";"";"";"";
"What to output?";"Что выводить?";"";"";"";"";
"Wrong 'sl' usage";"“дс” не в индексе строки";"";"";"";"";
"Wrong E-real number";"Ошибка в E-записи числа";"";"";"";"";
"Wrong hex constant";"Плохая 16-ричная константа";"";"";"";"";
"Wrong real number";"Ошибка в записи числа";"";"";"";"";
"Wrong table constant";"";"";"";"";"";
"kumir2-bc crashed while compiling this module";"Компилятор сломался при попытки сборки этого испонителя";"";"";"";"";
